编号,价格,是否合租,面积,楼层,小区,区域,户型(室),户型(厅),户型(卫),地铁(号线),到地铁的距离
410,1490,合,10,7,青柳大街小区,江南西,4,1,1,-1,-1
411,1450,合,9,7,金燕花苑,燕塘,4,1,1,3,300
412,1790,合,16,3,米兰苑,广州塔,4,1,1,3,700
413,1480,合,16,1,白云尚城,江夏,4,1,1,2,200
414,1340,合,10,14,橡树园,燕塘,6,1,2,3,900
415,1640,合,13,11,恒骏花园,京溪南方医院,5,1,2,3,300
416,1880,合,13,2,明月小区明月二路,五羊邨,4,1,1,5,400
417,1370,合,8,5,南洲名苑,南洲,4,1,1,2,350
418,1430,合,7,31,翠屏瀚宇贵都,凤凰新村,4,1,1,-1,-1
419,1340,合,11,4,昌盛小区,凤凰新村,4,1,1,8,350
420,1260,合,16,3,白云制药厂前山宿舍,同和,3,1,1,3,450
421,1640,合,12,4,天河御品,京溪南方医院,3,1,1,3,550
422,1240,合,9,4,富和花园,同和,4,1,1,3,350
423,1290,合,9,13,盈彩美居,三溪,3,1,1,5,1150
424,1440,合,12,2,天河广场,车陂,3,1,1,4,800
425,1730,合,18,2,恒福路62-66号,淘金,3,1,1,5,1000
426,1380,合,10,9,新业海珠干警小区,石溪,3,1,1,-1,250
427,1200,合,12,5,新兴白云花园,黄边,3,1,1,2,900
428,1700,合,17,4,昌乐居,员村,3,1,1,-1,-1
429,1320,合,19,6,东方明珠花苑,白云文化广场,4,1,1,2,550
430,1740,合,17,3,海印南苑一期,晓港,3,1,1,8,950
431,1370,合,9,8,怡雅苑,凤凰新村,3,1,1,8,550
432,1460,合,15,3,保利花园镜湖东街,燕岗,4,1,1,11,300
433,1030,合,7,14,民航小区向云西街,飞翔公园,4,1,1,2,650
434,1380,合,9,2,仲恺农业工程学院教工宿舍,市二宫,4,1,1,2,1150
435,2000,合,10,16,东方花苑,杨箕,3,1,1,1,650
436,1250,合,12,6,云和花园,同和,4,1,1,3,500
437,1900,合,13,4,福今路14号大院,杨箕,4,1,1,1,600
438,1640,合,8,6,泓景花园,赤岗,4,1,1,8,700
439,1380,合,10,6,侨源山庄虹侨楼,燕塘,4,1,1,3,700
440,1460,合,8,29,时代新世界中心,天平架,4,1,1,6,700
441,1540,合,10,9,罗马假日,市二宫,3,1,1,2,850
442,1020,合,7,2,龙怡苑,黄村（广州）,4,1,1,4,1300
443,1360,合,8,3,恒骏花园,京溪南方医院,4,1,1,3,300
444,1350,合,10,9,擎山苑,京溪南方医院,4,1,1,3,800
445,1610,合,9,14,伟诚广场,天河公园,3,1,1,21,500
446,1540,合,8,26,富基广场,市二宫,5,1,1,2,350
447,1360,合,7,8,云景花园云枫苑,京溪南方医院,4,1,1,3,550
448,1570,合,9,2,电子七所社区（楼梯）,客村,4,1,1,3,300
449,1220,合,12,3,盈彩美居碧彩轩,三溪,4,1,1,5,1150
450,1120,合,10,4,同和云苑新村,同和,5,1,1,3,400
451,1200,合,13,3,云东小区,同和,4,1,1,3,150
452,1470,合,11,4,景晖苑小区,天河客运站,4,1,1,3,900
453,1410,合,17,4,白云公司宿舍,同和,4,1,1,3,250
454,1510,合,15,3,万华花园-四季轩,东晓南,4,1,1,2,550
455,1620,合,8,4,愉景雅苑,鹭江,5,1,2,8,500
456,1410,合,9,3,鸿通花苑,梅花园,4,1,1,3,800
457,1370,合,8,29,南华西大厦,同福西,4,1,1,8,900
458,1300,合,8,7,五仙花园,天平架,3,1,1,6,850
459,1300,合,13,1,白云畔山花园,京溪南方医院,4,1,1,3,900
460,1740,合,14,4,绿怡居花园,动物园,4,1,1,5,700
461,1270,合,8,9,华建小区,天河公园,5,1,1,21,550
462,1440,合,9,14,加怡花园一期,东晓南,3,1,1,2,200
463,1400,合,9,10,保利花园丝雨街,燕岗,4,1,1,11,500
464,1330,合,8,5,尚领时代,石溪,4,1,1,-1,550
465,1330,合,8,2,富力顺意花园,燕岗,4,1,1,11,350
466,1730,合,14,2,祈乐苑,中大,4,1,1,8,750
467,1720,合,12,4,华乐苑(楼梯),鹭江,3,1,1,8,600
468,1580,合,11,3,东晖花园朝阳居,天河公园,4,1,1,21,600
469,1330,合,10,6,云和花园,同和,3,1,1,3,500
470,1740,合,10,9,珠江广场,鹭江,4,1,1,8,800
471,1490,合,11,27,海印南苑三期,晓港,5,1,2,8,1050
472,1300,合,10,29,华景新城逸雅居,华景路,6,1,2,11,800
473,1460,合,9,27,怡新花园怡盛阁,梅花园,5,1,1,3,150
474,1340,合,15,2,云东小区,同和,4,1,1,3,150
475,2100,合,15,3,天河南一路小区,天河南,3,1,1,-1,250
476,1490,合,9,1,保利林海山庄,植物园,3,1,1,6,650
477,1440,合,8,1,保利林海山庄,植物园,3,1,1,6,650
478,1580,合,12,3,穗花新村,江南西,3,1,1,2,300
479,1510,合,11,5,时代花生一期,天平架,3,1,1,3,1000
480,1230,合,8,1,圣地摩坊公馆,梅花园,4,1,1,3,600
481,1440,合,12,2,前进路127号,江南西,4,1,1,2,700
482,1550,合,16,30,君华香柏广场,京溪南方医院,5,1,1,3,200
483,1490,合,8,31,时代新世界中心,天平架,4,1,1,6,700
484,1570,合,7,9,芭堤水岸,鹭江,4,1,1,8,950
485,1350,合,13,2,金碧雅苑,黄边,4,1,1,2,450
486,1790,合,12,3,中山一路小区,杨箕,3,1,1,1,550
487,1170,合,9,3,倚绿山庄,同和,4,1,1,3,550
488,1200,合,8,12,新业海珠干警小区,石溪,3,1,1,-1,250
489,1850,合,8,24,东海嘉园,杨箕,5,1,1,1,400
490,1160,合,9,5,棠德花园B区,棠东,4,1,1,21,650
491,1630,合,10,1,中信金影花园,客村,3,1,1,3,450
492,1390,合,8,7,美好居,车陂,4,1,1,4,200
493,1480,合,10,2,瑞心苑,燕塘,4,1,1,3,800
494,1460,合,12,6,橡树园,燕塘,4,1,1,3,900
495,1140,合,8,14,民航小区向云西街,飞翔公园,4,1,1,2,650
496,1250,合,12,5,新兴白云花园,黄边,3,1,1,2,900
497,2110,合,17,7,石牌南门苑,华师,3,1,1,3,650
498,1150,合,8,26,天雅居C区,黄村（广州）,4,1,1,4,1100
499,1960,合,17,13,保利林海山庄,植物园,4,1,1,6,650
500,1160,合,11,2,同和云苑新村,同和,4,1,1,3,400
501,1290,合,9,10,天河广场,车陂,4,1,1,4,800
502,1280,合,11,4,白云公司宿舍,同和,4,1,1,3,250
503,1860,合,10,23,广信汇景大厦,五羊邨,4,1,1,5,300
504,1390,合,11,2,前进路127号,江南西,4,1,1,2,700
505,1430,合,7,27,兰亭熙园,宝岗大道,4,1,1,8,300
506,1510,合,11,2,罗马家园,沥滘,4,1,1,3,600
507,1280,合,9,3,美景花苑,车陂,4,1,1,4,250
508,1270,合,10,12,东尚明苑,黄村（广州）,4,1,1,4,850
509,1660,合,13,4,华颖花园,潭村,3,1,1,5,900
510,1340,合,8,9,珠江俊园,华景路,5,1,1,11,850
511,1590,合,12,5,冠庭园冠昌阁,天平架,2,1,1,6,600
512,1160,合,7,11,中意花苑,飞翔公园,3,1,1,2,650
513,1180,合,7,8,万华花园-五福阁,东晓南,4,1,1,2,550
514,1460,合,8,12,朗晴居一期,市二宫,5,1,1,2,350
515,1210,合,8,12,盈彩美居,三溪,4,1,1,5,1150
516,1700,合,11,6,珠江西苑,广州东站,4,1,1,1,550
517,1250,合,9,16,东尚明苑,黄村（广州）,4,1,1,4,850
518,1820,合,16,4,电子七所社区（楼梯）,客村,4,1,1,3,300
519,1460,合,19,3,富和花园,同和,4,1,1,3,350
520,1510,合,13,2,恒福路62-66号,淘金,3,1,1,5,1000
521,1430,合,9,7,保利林海山庄,植物园,4,1,1,6,650
522,1130,合,10,7,今日丽舍,大石,4,1,1,3,750
523,790,合,6,2,悦涛雅苑,裕丰围,4,1,1,13,150
524,1540,合,12,3,海逸花园,市二宫,3,1,1,2,450
525,1560,合,13,18,东翠花园,晓港,4,1,1,-1,-1
526,1290,合,21,1,白云畔山花园,京溪南方医院,4,1,1,3,900
527,1610,合,20,2,盈彩美居,三溪,4,1,1,5,1150
528,1860,合,17,16,怡雅苑,凤凰新村,4,1,1,8,550
529,1260,合,8,8,云山翠苑,天平架,4,1,1,6,500
530,1510,合,9,31,富基广场,市二宫,4,1,1,2,350
531,1470,合,9,1,骏景花园1,车陂南,4,1,1,4,900
532,1350,合,12,2,盈彩美居,三溪,3,1,1,5,1150
533,1470,合,11,2,富力顺意花园,燕岗,4,1,1,11,350
534,1400,合,11,1,橡树园,燕塘,3,1,1,3,900
535,1480,合,10,21,南华西大厦,同福西,4,1,1,8,900
536,1230,合,9,3,美景花苑,车陂,4,1,1,4,250
537,1480,合,12,5,金碧花园第一金碧,石溪,3,1,1,-1,400
538,1670,合,15,13,南康阁,江南西,3,1,1,2,750
539,1620,合,18,16,美林海岸花园,科韵路,6,1,2,5,650
540,1770,合,14,12,富景花园,中大,4,1,1,8,350
541,1320,合,11,1,广信春兰花园,京溪南方医院,3,1,1,3,100
542,1460,合,12,1,梅花园站拆迁安置房,梅花园,3,1,1,3,50
543,1490,合,15,12,天雅居A区,黄村（广州）,4,1,1,4,900
544,1520,合,9,12,朗晴居一期,市二宫,5,1,1,2,350
545,1040,合,6,4,盈彩美居,三溪,4,1,1,5,1150
546,1720,合,14,2,华乐苑(楼梯),鹭江,4,1,1,8,600
547,1500,合,12,4,兴禺大厦,广州东站,4,1,1,1,650
548,1550,合,10,9,顺华名庭,中大,3,1,1,8,600
549,2050,合,17,29,嘉富广场,动物园,7,1,3,5,650
550,1090,合,10,2,同和机电宿舍,同和,3,1,1,3,350
551,1360,合,15,10,云逸苑,白云文化广场,4,1,1,12,500
552,1500,合,11,24,金碧花园第一金碧,石溪,3,1,1,-1,400
553,1780,合,12,4,蓝色康园,鹭江,4,1,1,8,950
554,1460,合,9,12,尚东峰景,东晓南,4,1,1,2,900
555,1370,合,9,8,兴禺大厦,广州东站,4,1,1,1,650
556,2150,合,8,9,盈嘉花园,猎德,4,1,1,5,350
557,1380,合,8,9,瑞心苑,燕塘,4,1,1,3,800
558,1970,合,19,5,博雅轩,广州东站,3,1,1,1,700
559,1400,合,8,10,富力现代广场,凤凰新村,4,1,1,8,300
560,1570,合,9,31,时代新世界中心,天平架,4,1,1,6,700
561,1740,合,12,19,愉景南苑,鹭江,4,1,1,8,350
562,1850,合,13,7,穗园小区,华师,4,1,2,3,850
563,1450,合,8,12,富力现代广场,凤凰新村,4,1,1,8,300
564,1330,合,8,15,银华大厦,晓港,4,1,1,8,350
565,1620,合,9,7,跑马地花园,潭村,4,1,1,5,800
566,1360,合,10,6,中山二院小区,东晓南,4,1,1,2,450
567,1110,合,12,4,东秀园,番禺广场,4,1,1,3,500
568,1380,合,10,2,珠江熙苑,车陂,4,1,1,4,700
569,1490,合,12,12,时代玫瑰园二期,黄边,4,1,1,2,400
570,1880,合,10,7,珠江帝景苑赏湖轩,广州塔,5,1,1,3,550
571,1630,合,16,3,侨源山庄阳光苑,燕塘,4,1,1,3,550
572,1290,合,12,5,白云畔山花园,京溪南方医院,6,1,1,3,900
573,1570,合,10,4,东晖花园朝阳居,天河公园,3,1,1,21,600
574,1520,合,17,4,云东小区,同和,2,1,1,3,150
575,1550,合,18,4,荷塘月色临风居,萧岗,3,1,1,2,950
576,1410,合,7,31,兰亭熙园,宝岗大道,4,1,1,8,300
577,1650,合,11,2,祈乐苑,中大,4,1,1,8,750
578,1180,合,8,5,白云畔山花园,京溪南方医院,4,1,1,3,900
579,1210,合,5,6,逸景翠园,鹭江,4,1,1,8,1350
580,1340,合,9,3,武警部队广东省总队医院,燕塘,5,1,2,3,450
581,1360,合,12,21,天河广场,车陂,4,1,1,4,800
582,1120,合,10,2,同和云苑新村,同和,4,1,1,3,400
583,1130,合,6,11,嘉鸿花园金玫瑰园,石溪,4,1,1,-1,650
584,1790,合,18,2,先烈东横路40号大院,沙河顶,4,1,1,6,450
585,1340,合,9,2,万华花园-三贤楼,东晓南,4,1,1,2,700
586,1510,合,11,13,隆基怡苑倚翠轩,梅花园,3,1,1,3,900
587,1720,合,14,6,广海花园二期,科韵路,4,1,1,5,950
588,1370,合,8,9,隆基怡苑倚翠轩,梅花园,3,1,1,3,900
589,1310,合,10,2,天河广场,车陂,4,1,1,4,800
590,1200,合,7,12,万华花园-五福阁,东晓南,4,1,1,2,550
591,1750,合,18,22,罗马假日,市二宫,4,1,1,2,850
592,2050,合,14,21,南华西大厦,同福西,4,1,1,8,900
593,1460,合,8,21,南华西大厦,同福西,4,1,1,8,900
594,1410,合,11,9,嘉鸿花园,石溪,3,1,1,-1,500
595,1670,合,8,6,天诚广场,华师,4,1,1,3,500
596,1440,合,9,5,南景园品梅轩,江泰路,3,1,1,2,450
597,1820,合,17,11,翠城花园,宝岗大道,4,1,1,8,350
598,1310,合,9,11,荷塘月色星怡居,白云文化广场,3,1,1,12,650
599,1240,合,11,16,东尚明苑,黄村（广州）,8,1,2,4,850
600,1510,合,8,3,富力银禧花园,中大,4,1,1,8,950
601,1110,合,11,2,同和云苑新村,同和,4,1,1,3,400
602,1580,合,8,6,富基广场,市二宫,4,1,1,2,350
603,1690,合,15,7,金燕花苑,燕塘,4,1,1,3,300
604,1410,合,13,2,倚绿山庄,同和,3,1,1,3,550
605,1490,合,14,3,鸿通花苑,梅花园,4,1,1,3,800
606,1810,合,10,4,远洋宿舍,体育西路,4,1,1,1,500
607,1400,合,15,1,同和云苑新村,同和,4,1,1,3,400
608,1110,合,13,1,同和云苑新村,同和,4,1,1,3,400
609,1520,合,9,5,永福北约,沙河顶,3,1,1,6,250
610,1550,合,9,8,育龙居,植物园,4,1,1,6,300
611,1100,合,7,8,白云畔山花园,京溪南方医院,4,1,1,3,900
612,1780,合,17,3,广信春兰花园,京溪南方医院,4,1,1,3,100
613,1980,合,12,7,共和东路17号楼,杨箕,3,1,1,1,100
614,1120,合,10,1,云涛花园,同和,4,1,1,3,150
615,1220,合,7,2,云裳丽影,同和,4,1,1,3,450
616,1060,合,7,5,白云畔山花园,京溪南方医院,4,1,1,3,900
617,1350,合,22,5,康裕园,市桥,4,1,1,3,1000
618,1520,合,12,2,仲恺农业工程学院教工宿舍,市二宫,4,1,1,2,1150
619,1220,合,8,8,省粮油宿舍,天平架,4,1,1,6,400
620,1310,合,9,14,春江花园,棠东,4,1,1,4,650
621,1530,合,9,24,鸿景园,华师,4,1,1,3,550
622,1640,合,20,13,华建小区,天河公园,5,1,1,21,550
623,1540,合,8,7,美林海岸花园海天苑,员村,4,1,1,5,850
624,1370,合,7,8,江源半岛花园,车陂南,4,1,2,4,50
625,1180,合,8,6,机场东门小区,白云公园,3,1,1,12,550
626,1710,合,17,2,恒福路62-66号,淘金,3,1,1,5,1000
627,1630,合,20,12,金碧都市广场,石溪,4,1,1,-1,50
628,1430,合,9,8,尚领时代,石溪,4,1,1,-1,550
629,1630,合,9,4,愉景雅苑,鹭江,4,1,1,8,500
630,1480,合,8,9,叠彩园金桦轩,鹭江,4,1,1,8,1050
631,1350,合,8,7,金燕花苑,燕塘,4,1,1,3,300
632,1280,合,12,4,富和花园,同和,4,1,1,3,350
633,1620,合,17,2,富力天朗明居N区,棠东,4,1,1,4,450
634,1000,合,6,6,元邦苑,白云文化广场,3,1,1,2,400
635,1850,合,14,2,小北路小区,小北,3,1,1,13,500
636,1320,合,7,2,穗花新村,江南西,3,1,1,2,300
637,1620,合,12,4,嘉仕花园,中大,3,1,1,8,950
638,1710,合,9,9,新港商厦,磨碟沙,4,1,1,8,300
639,1230,合,6,19,鸿富大厦,江南西,4,1,1,2,350
640,1770,合,12,4,愉景雅苑,鹭江,5,1,2,8,500
641,1380,合,8,4,侨雅苑,鹭江,4,1,1,8,450
642,1620,合,12,6,海富花园B区,江泰路,4,1,1,2,250
643,1550,合,11,4,华乐苑(楼梯),鹭江,4,1,1,8,600
644,1360,合,7,9,骏景花园1,车陂南,4,1,1,4,900
645,1840,合,13,3,中山一路小区,杨箕,3,1,1,1,550
646,1330,合,11,11,盈彩美居,三溪,4,1,1,5,1150
647,1220,合,8,23,锦丽居一期,东晓南,5,1,1,2,300
648,1550,合,10,2,罗马家园,沥滘,4,1,1,3,600
649,1380,合,16,22,天雅居C区,黄村（广州）,4,1,1,4,1100
650,1710,合,13,1,中信金影花园,客村,3,1,1,3,450
651,1260,合,8,6,云景花园云枫苑,京溪南方医院,5,1,1,3,550
652,1450,合,12,6,云景花园云桂苑,京溪南方医院,3,1,1,3,300
653,1530,合,8,31,富基广场,市二宫,4,1,1,2,350
654,1260,合,14,4,云东小区,同和,3,1,1,3,150
655,1360,合,10,8,白云骏景花园,白云文化广场,4,1,1,2,700
656,1710,合,10,2,金富苑,华师,3,1,1,3,450
657,1280,合,10,6,和辉花园,东晓南,4,1,1,2,1100
658,1190,合,8,14,东圃广场,黄村（广州）,4,1,1,4,1000
659,1490,合,14,14,东圃广场,黄村（广州）,4,1,1,4,1000
660,1370,合,11,22,盈彩美居,三溪,4,1,1,5,1150
661,1110,合,10,1,云涛花园,同和,4,1,1,3,150
662,1190,合,7,3,侨诚花园春晓苑,东晓南,4,1,1,2,300
663,1470,合,13,2,旭景家园C区,黄村（广州）,3,1,1,4,900
664,1290,合,10,1,广信春兰花园,京溪南方医院,4,1,1,3,100
665,1440,合,13,6,侨源山庄虹侨楼,燕塘,4,1,1,3,700
666,1640,合,8,5,跑马地花园,潭村,4,1,1,5,800
667,1870,合,10,17,华标广场,华师,5,1,1,3,550
668,1690,合,10,29,鸿景园,华师,4,1,1,3,550
669,1400,合,12,11,保利花园保康路,燕岗,6,1,2,11,550
670,1540,合,11,14,悦安花园,江泰路,4,1,1,2,700
671,1770,合,11,2,侨怡苑,林和西,4,1,1,3,700
672,1260,合,13,4,云东小区,同和,5,1,1,3,150
673,1790,合,18,1,保利花园镜湖东街,燕岗,4,1,1,11,300
674,1930,合,15,5,紫荆小区,广州东站,3,1,1,1,650
675,1430,合,8,8,江南花园,沙园,3,1,1,8,700
676,1580,合,13,3,星群药业宿舍,南洲,3,1,1,2,50
677,1210,合,7,4,尚领时代,石溪,4,1,1,-1,550
678,1320,合,6,17,嘉汇华庭,江南西,4,1,1,2,500
679,1150,合,8,12,美景花苑,车陂,4,1,1,4,250
680,1570,合,9,1,骏景花园1,车陂南,4,1,1,4,900
681,1500,合,12,9,东翠花园,晓港,4,1,1,-1,-1
682,1430,合,11,16,华建小区,天河公园,6,1,2,21,550
683,1550,合,8,7,美林海岸花园,科韵路,4,1,1,5,650
684,1240,合,10,2,棠德花苑,棠东,3,1,1,21,650
685,1630,合,10,2,祈乐苑,中大,4,1,1,8,750
686,1480,合,12,8,兴禺大厦,广州东站,4,1,1,1,650
687,1110,合,6,5,珠江俊园,华景路,5,1,1,11,850
688,1450,合,13,7,云景花园云桂苑,京溪南方医院,4,1,1,3,300
689,1280,合,16,8,儒苑小区,江夏,4,1,1,2,400
690,1460,合,13,6,麓景东大院,小北,4,1,1,5,600
691,1050,合,7,2,迎海花园迎辉阁,黄村（广州）,3,1,1,-1,-1
692,1470,合,9,27,海印南苑三期,晓港,5,1,2,8,1050
693,1980,合,16,7,侨诚花园春晓苑,东晓南,4,1,1,2,300
694,1630,合,11,5,逸景翠园,鹭江,4,1,1,8,1350
695,1790,合,16,13,金雅苑(电梯),中大,3,1,1,8,1200
696,1610,合,12,4,富力天朗明居S区,车陂,3,1,1,4,350
697,1390,合,15,2,云景花园云桦苑,京溪南方医院,4,1,1,3,550
698,1210,合,10,5,白云公司宿舍,同和,4,1,1,3,250
699,1180,合,6,8,云山熹景,梅花园,5,1,1,3,350
700,1610,合,21,12,天雅居A区,黄村（广州）,4,1,1,4,900
701,1720,合,17,4,鸿富大厦,江南西,4,1,1,2,350
702,1370,合,9,14,橡树园,燕塘,6,1,2,3,900
703,1600,合,16,3,云山翠苑,天平架,3,1,1,6,500
704,1660,合,14,27,昌岗东电信大厦,晓港,3,1,1,8,100
705,1350,合,7,10,富力现代广场,凤凰新村,4,1,1,8,300
706,1500,合,8,11,富景花园,中大,3,1,1,8,350
707,1960,合,14,4,广东省政府大院,体育西路,3,1,1,1,850
708,1110,合,10,1,云涛花园,同和,3,1,1,3,150
709,1470,合,8,11,时代新世界中心,天平架,4,1,1,6,700
710,1320,合,9,5,鸿燕居,燕塘,3,1,1,3,200
711,1630,合,16,5,下塘新村,小北,4,1,1,5,550
712,1210,合,15,3,云泉居,黄边,4,1,1,2,600
713,1460,合,12,5,星汇晴轩,飞翔公园,3,1,1,2,750
714,1860,合,9,20,瑞达大厦,体育西路,4,1,1,1,350
715,1570,合,12,13,南康阁,江南西,3,1,1,2,750
716,1940,合,13,6,富景花苑,体育西路,4,1,1,1,500
717,1310,合,8,12,晓港湾漾日云天,东晓南,3,1,1,2,400
718,1720,合,17,8,兴禺大厦,广州东站,4,1,1,1,650
719,1790,合,12,2,麓苑小区,小北,3,1,1,5,650
720,1730,合,14,8,金碧花园第三金碧,石溪,3,1,1,-1,300
721,2480,合,20,3,大家庭花园,琶洲,4,1,1,8,350
722,1610,合,12,9,美好居,车陂,4,1,1,4,200
723,1750,合,10,29,富基广场,市二宫,3,1,1,2,350
724,2140,合,10,17,南天广场,五羊邨,3,1,1,5,200
725,1790,合,9,6,富景花苑,体育西路,4,1,1,1,500
726,1240,合,6,10,骏景花园1,车陂南,4,1,1,4,900
727,1350,合,8,3,鸿燕居,燕塘,3,1,1,3,200
728,1890,合,9,14,祥龙花园,林和西,4,1,1,3,250
729,1490,合,16,12,春晖闲庭,永泰,5,1,1,3,300
730,1250,合,9,10,岭南新世界,嘉禾望岗,4,1,1,2,750
731,1990,合,17,11,蓝色康园,鹭江,4,1,1,8,950
732,1260,合,12,2,天平花苑,燕塘,4,1,1,3,950
733,1480,合,7,7,绿茵翠庭,客村,3,1,1,3,1100
734,1540,合,10,2,恒洲小苑,南洲,2,1,1,-1,-1
735,1430,合,15,3,景安花园,三溪,5,2,2,5,1650
736,1680,合,8,6,电力设计院宿舍,磨碟沙,4,1,1,8,400
737,1150,合,9,5,民航小区向云西街,飞翔公园,3,1,1,2,650
738,1020,合,10,2,彩晴轩,市桥,4,1,1,3,1200
739,1400,合,11,11,中意花苑,飞翔公园,3,1,1,2,650
740,1570,合,8,2,小北路小区,小北,3,1,1,13,500
741,1070,合,8,12,和辉花园,东晓南,4,1,1,2,1100
742,1430,合,9,2,嘉仕花园,中大,3,1,1,8,950
743,1360,合,15,6,春晖闲庭,永泰,5,1,1,3,300
744,1470,合,17,9,美景花苑,车陂,3,1,1,4,250
745,1440,合,8,6,怡新花园怡泰阁,梅花园,4,1,1,3,250
746,1470,合,10,4,冠庭园冠昌阁,天平架,3,1,1,6,600
747,1790,合,22,4,冠庭园冠昌阁,天平架,3,1,1,6,600
748,1720,合,8,7,六运小区,体育西路,4,1,1,-1,-1
749,1350,合,11,4,星晖园,南洲,5,1,1,-1,-1
750,1560,合,8,7,珠影大院大院31栋,客村,3,1,1,3,350
751,1780,合,18,1,白云尚城,江夏,4,1,1,2,200
752,1350,合,15,19,富华花园,市桥,4,1,1,-1,-1
753,970,合,7,4,温馨里,市桥,4,1,1,3,1000
754,1440,合,9,22,罗马假日,市二宫,4,1,1,2,850
755,1620,合,16,3,润南花园,江泰路,3,1,1,-1,-1
756,1490,合,12,3,润南花园,江泰路,3,1,1,-1,-1
757,1510,合,11,16,兴禺大厦,广州东站,4,1,1,1,650
758,1460,合,7,3,丰盈居,鹭江,4,1,1,8,1000
759,1400,合,11,5,保利花园馨竹街,燕岗,4,1,1,11,750
760,1250,合,9,2,春晖闲庭,永泰,5,1,1,3,300
761,1300,合,13,18,金碧花园第二金碧,石溪,4,1,1,-1,300
762,1540,合,9,8,穗花新村,江南西,3,1,1,2,300
763,1650,合,12,2,华乐苑(楼梯),鹭江,4,1,1,8,600
764,1450,合,13,10,春江花园,棠东,4,1,1,4,650
765,1370,合,12,28,天河广场,车陂,4,1,1,4,800
766,1680,合,9,8,愉景南苑,鹭江,4,1,1,8,350
767,1430,合,16,3,雅怡阁,车陂,4,1,1,4,900
768,1400,合,6,4,鹭苑公寓,鹭江,2,1,1,8,100
769,1150,合,5,9,海印南苑三期,晓港,4,1,1,8,1050
770,1280,合,14,5,康泰花苑,江泰路,4,1,1,-1,-1
771,2000,合,13,26,影城花园,客村,3,1,1,3,200
772,950,合,8,2,东怡新区东倩园,番禺广场,4,1,1,3,550
773,1350,合,8,10,保利花园丝雨街,燕岗,4,1,1,11,500
774,1420,合,10,12,盈彩美居,三溪,3,1,1,5,1150
775,1830,合,14,14,金碧花园第一金碧,石溪,4,1,1,-1,400
776,1480,合,8,9,富力院士庭,广州东站,4,1,1,1,1300
777,1390,合,10,3,锦丽居一期,东晓南,4,1,1,2,300
778,1650,合,8,6,侨英花园,广州东站,4,1,1,1,900
779,1370,合,7,7,绿茵翠庭,客村,3,1,1,3,1100
780,1630,合,14,3,光大花园翠榕苑,沙园,3,1,1,8,650
781,1320,合,6,9,骏景花园1,车陂南,4,1,1,4,900
782,1170,合,10,12,如意中心,洛溪,4,1,1,2,600
783,1280,合,11,6,元邦苑,白云文化广场,3,1,1,2,400
784,1750,合,20,21,金碧花园第二金碧,石溪,3,1,1,-1,300
785,1990,合,19,3,昌岗中路小区,宝岗大道,3,1,1,8,200
786,1450,合,8,4,华港花园,华景路,4,1,1,11,200
787,1360,合,10,2,华景新城翠安侬苑,华景路,4,1,1,11,750
788,1540,合,18,6,擎山苑,京溪南方医院,3,1,1,3,800
789,1570,合,13,7,省粮油宿舍,天平架,4,1,1,6,400
790,1600,合,18,3,侨源山庄阳光苑,燕塘,4,1,1,3,550
791,1300,合,9,3,锦丽居一期,东晓南,4,1,1,2,300
792,1460,合,8,7,时代新世界中心,天平架,4,1,1,6,700
793,1610,合,7,8,云鹤园,动物园,4,1,1,5,200
794,1660,合,11,16,太阳广场,华师,3,1,1,3,700
795,2240,合,18,28,金碧湾,凤凰新村,4,1,1,8,500
796,1370,合,9,16,华建小区,天河公园,6,1,2,21,550
797,1860,合,14,11,珠江西苑,广州东站,4,1,1,1,550
798,1880,合,22,3,东晖花园朝阳居,天河公园,4,1,1,21,600
799,1610,合,26,3,云和花园,同和,3,1,1,3,500
800,1180,合,10,5,云涛花园,同和,3,1,1,3,150
801,1560,合,10,15,富力天朗明居S区,车陂,3,1,1,4,350
802,1460,合,6,20,淘金华庭,淘金,3,1,1,5,750
803,1490,合,5,17,金迪大厦,杨箕,3,1,1,1,400
804,1750,合,12,6,淘金花园,淘金,4,1,1,5,800
805,1920,合,16,1,圣地摩坊公馆,梅花园,4,1,1,3,600
806,1360,合,24,4,东方花园又一村,番禺广场,4,1,1,3,850
807,1680,合,20,6,春晖闲庭,永泰,5,1,1,3,300
808,1500,合,10,10,尚领时代,石溪,4,1,1,-1,550
809,1750,合,12,26,富景花园,中大,3,1,1,8,350
810,1470,合,8,12,富景花园,中大,4,1,1,8,350
811,1510,合,13,10,盈彩美居碧彩轩,三溪,3,1,1,5,1150
812,1510,合,47,2,天平花苑,燕塘,4,1,1,3,950
813,1520,合,9,5,绿茵翠庭,客村,4,1,1,3,1100
814,1490,合,12,18,兴禺大厦,广州东站,4,1,1,1,650
815,1630,合,8,5,大家庭花园,琶洲,3,1,1,8,350
816,1300,合,8,5,金碧花园第一金碧,石溪,4,1,1,-1,400
817,1730,合,17,26,五星阁,燕塘,6,1,2,3,650
818,1310,合,8,11,星汇晴轩,飞翔公园,4,1,1,2,750
819,1040,合,7,5,如意花园,洛溪,3,1,1,2,400
820,1220,合,11,5,康泰花苑,江泰路,4,1,1,-1,-1
821,1830,合,11,28,百利华庭,市二宫,3,1,1,-1,-1
822,1590,合,9,26,可逸豪苑,江南西,4,1,1,2,1000
823,1790,合,19,2,佳福阁,科韵路,3,1,1,5,450
